2026-04-03 11:10:07 | ====================================================
GridCFN Configuration
====================================================

[Data]
  dataset                = solar
  data_path              = ./data/solar_AL.txt
  T_in                   = 168
  T_out                  = 1
  adj_threshold          = 0.95
  batch_size             = 32

[Model]
  in_dim                 = 1
  gcn_hidden             = 64
  gcn_layers             = 2
  tcn_hidden             = 64
  tcn_layers             = 4
  env_dim                = 32
  stoch_dim              = 32
  ms_out_dim             = 32
  n_scg_layers           = 3
  out_dim                = 1
  lambda_mi              = 0.5

[Train]
  lr                     = 0.0005
  max_epochs             = 200
  patience               = 20
  lr_decay_factor        = 0.5
  lr_decay_patience      = 10
  grad_clip              = 1.0
  weight_decay           = 1e-05
  save_path              = best_model.pt
  seed                   = 42
  warmup_epochs          = 5
  gpu_id                 = -1
  log_dir                = logs
  log_to_console         = True
====================================================
2026-04-03 11:10:07 | Device : GPU 0: NVIDIA GeForce RTX 3090  (23.6 GB)
2026-04-03 11:10:08 | Graph  : 137 nodes, 2884 edges
2026-04-03 11:10:08 | Parameters : 202,182

2026-04-03 11:10:09 |  Epoch |     Loss |      NLL |      MI |  Val MAE |  Val RMSE |  Val CRPS |       LR |   Time
2026-04-03 17:18:08 |     88 |  -1.7198 |  -2.8466 |  2.2536 |   0.1191 |    0.3230 |    0.0879 | 1.25e-04 | 251.0s
2026-04-03 17:22:19 |     89 |  -1.6877 |  -2.8853 |  2.3952 |   0.1195 |    0.3229 |    0.0880 | 1.25e-04 | 250.9s
2026-04-03 17:26:30 |     90 |  -1.6788 |  -2.8871 |  2.4165 |   0.1188 |    0.3237 |    0.0879 | 1.25e-04 | 251.0s
2026-04-03 17:30:41 |     91 |  -1.6616 |  -2.8870 |  2.4508 |   0.1203 |    0.3248 |    0.0886 | 1.25e-04 | 251.0s
2026-04-03 17:34:52 |     92 |  -1.6515 |  -2.8850 |  2.4671 |   0.1181 |    0.3213 |    0.0867 | 1.25e-04 | 251.0s
2026-04-03 17:39:03 |     93 |  -1.7052 |  -2.8514 |  2.2922 |   0.1299 |    0.3338 |    0.0942 | 1.25e-04 | 250.9s
2026-04-03 17:43:14 |     94 |  -1.6946 |  -2.9493 |  2.5093 |   0.1184 |    0.3229 |    0.0868 | 1.25e-04 | 251.0s
2026-04-03 17:47:25 |     95 |  -1.7516 |  -2.9269 |  2.3506 |   0.1176 |    0.3243 |    0.0884 | 1.25e-04 | 250.9s
2026-04-03 17:51:36 |     96 |  -1.7232 |  -2.8808 |  2.3152 |   0.1172 |    0.3227 |    0.0864 | 1.25e-04 | 250.9s
2026-04-03 17:55:47 |     97 |  -1.5966 |  -2.8983 |  2.6034 |   0.1173 |    0.3209 |    0.0862 | 1.25e-04 | 250.9s
2026-04-03 17:59:57 |     98 |  -1.5700 |  -2.8954 |  2.6509 |   0.1186 |    0.3228 |    0.0868 | 1.25e-04 | 250.9s
2026-04-03 18:04:08 |     99 |  -1.5426 |  -2.8957 |  2.7063 |   0.1177 |    0.3218 |    0.0869 | 1.25e-04 | 250.9s
2026-04-03 18:08:19 |    100 |  -1.6666 |  -2.8596 |  2.3861 |   0.1181 |    0.3246 |    0.0872 | 1.25e-04 | 250.9s
2026-04-03 18:12:30 |    101 |  -1.6213 |  -2.9814 |  2.7202 |   0.1178 |    0.3225 |    0.0862 | 1.25e-04 | 250.8s
2026-04-03 18:16:41 |    102 |  -1.6466 |  -2.9811 |  2.6688 |   0.1174 |    0.3206 |    0.0859 | 1.25e-04 | 250.9s
2026-04-03 18:20:52 |    103 |   0.4568 |  -0.7431 |  2.3998 |   0.1181 |    0.3222 |    0.0869 | 1.25e-04 | 250.8s
2026-04-03 18:25:02 |    104 |  -1.7567 |  -2.8283 |  2.1433 |   0.1173 |    0.3199 |    0.0862 | 1.25e-04 | 250.8s
2026-04-03 18:29:13 |    105 |  -1.6378 |  -2.9061 |  2.5364 |   0.1168 |    0.3188 |    0.0857 | 1.25e-04 | 250.8s
2026-04-03 18:33:24 |    106 |  -1.5724 |  -2.9020 |  2.6593 |   0.1171 |    0.3185 |    0.0857 | 1.25e-04 | 250.8s
2026-04-03 18:37:35 |    107 |  -1.5375 |  -2.9048 |  2.7345 |   0.1177 |    0.3187 |    0.0859 | 1.25e-04 | 250.7s
2026-04-03 18:41:46 |    108 |  -1.6079 |  -2.8989 |  2.5819 |   0.1177 |    0.3186 |    0.0865 | 1.25e-04 | 250.7s
2026-04-03 18:45:56 |    109 |  -1.5733 |  -2.8950 |  2.6434 |   0.1179 |    0.3203 |    0.0861 | 1.25e-04 | 250.7s
2026-04-03 18:50:07 |    110 |  -1.6397 |  -2.9029 |  2.5263 |   0.1196 |    0.3220 |    0.0877 | 1.25e-04 | 250.7s
2026-04-03 18:54:18 |    111 |  -1.6842 |  -2.8953 |  2.4222 |   0.1189 |    0.3186 |    0.0857 | 1.25e-04 | 250.7s
2026-04-03 18:58:28 |    112 |  -1.8479 |  -2.9011 |  2.1063 |   0.1174 |    0.3209 |    0.0868 | 1.25e-04 | 250.6s
2026-04-03 19:02:39 |    113 |  -0.9671 |  -1.9614 |  1.9885 |   0.1194 |    0.3258 |    0.0878 | 1.25e-04 | 250.6s
2026-04-03 19:06:49 |    114 |  -1.6958 |  -2.7822 |  2.1729 |   0.1170 |    0.3204 |    0.0862 | 1.25e-04 | 250.6s
2026-04-03 19:11:00 |    115 |  -1.7829 |  -2.9680 |  2.3702 |   0.1165 |    0.3191 |    0.0851 | 1.25e-04 | 250.6s
2026-04-03 19:15:11 |    116 |  -1.6914 |  -2.9906 |  2.5983 |   0.1158 |    0.3161 |    0.0847 | 1.25e-04 | 250.8s
2026-04-03 19:19:22 |    117 |  -1.7772 |  -2.9886 |  2.4229 |   0.1175 |    0.3167 |    0.0853 | 1.25e-04 | 250.7s
2026-04-03 19:23:32 |    118 |  -1.7448 |  -2.9829 |  2.4763 |   0.1158 |    0.3142 |    0.0841 | 1.25e-04 | 250.7s
2026-04-03 19:27:43 |    119 |  -1.7745 |  -2.9568 |  2.3645 |   0.1167 |    0.3185 |    0.0857 | 1.25e-04 | 250.7s
2026-04-03 19:31:54 |    120 |  -1.3443 |  -2.5171 |  2.3456 |   0.1165 |    0.3184 |    0.0860 | 1.25e-04 | 250.8s
2026-04-03 19:36:04 |    121 |  -1.7570 |  -2.9103 |  2.3064 |   0.1165 |    0.3158 |    0.0850 | 1.25e-04 | 250.7s
2026-04-03 19:40:15 |    122 |  -1.6837 |  -2.9129 |  2.4584 |   0.1166 |    0.3134 |    0.0842 | 1.25e-04 | 250.7s
2026-04-03 19:44:26 |    123 |  -1.7187 |  -2.8775 |  2.3176 |   0.1163 |    0.3157 |    0.0852 | 1.25e-04 | 250.7s
2026-04-03 19:48:37 |    124 |  -1.6985 |  -2.9136 |  2.4301 |   0.1158 |    0.3125 |    0.0839 | 1.25e-04 | 250.8s
2026-04-03 19:52:47 |    125 |  -1.7351 |  -2.8857 |  2.3013 |   0.1184 |    0.3208 |    0.0879 | 1.25e-04 | 250.7s
2026-04-03 19:56:58 |    126 |  -1.6160 |  -2.7479 |  2.2638 |   0.1169 |    0.3153 |    0.0846 | 1.25e-04 | 250.7s
2026-04-03 20:01:09 |    127 |  -1.6676 |  -2.7739 |  2.2127 |   0.2016 |    0.4341 |    0.1445 | 1.25e-04 | 250.7s
2026-04-03 20:05:20 |    128 |  -1.7293 |  -2.8882 |  2.3178 |   0.1173 |    0.3164 |    0.0854 | 1.25e-04 | 250.7s
2026-04-03 20:09:30 |    129 |  -1.6974 |  -2.9166 |  2.4384 |   0.1165 |    0.3141 |    0.0844 | 1.25e-04 | 250.8s
2026-04-03 20:13:41 |    130 |  -1.6597 |  -2.8988 |  2.4783 |   0.1158 |    0.3139 |    0.0849 | 1.25e-04 | 250.8s
2026-04-03 20:17:52 |    131 |  -1.6611 |  -2.8904 |  2.4586 |   0.1183 |    0.3219 |    0.0875 | 1.25e-04 | 250.8s
2026-04-03 20:22:03 |    132 |  -1.7005 |  -2.9776 |  2.5542 |   0.1162 |    0.3120 |    0.0836 | 1.25e-04 | 250.7s
2026-04-03 20:26:13 |    133 |  -1.7229 |  -3.0018 |  2.5579 |   0.1177 |    0.3152 |    0.0846 | 1.25e-04 | 250.7s
2026-04-03 20:30:24 |    134 |  -1.7456 |  -2.9352 |  2.3792 |   0.1162 |    0.3124 |    0.0845 | 1.25e-04 | 250.7s
